Date,Price,Open,High,Low,Change %
"Dec 14, 2018",97.44,97.09,97.71,97.08,0.39%
"Dec 17, 2018",97.1,97.43,97.46,97.05,-0.35%
"Dec 18, 2018",97.1,97.13,97.17,96.7,0.00%
"Dec 19, 2018",97.03,96.91,97.1,96.55,-0.07%
"Dec 20, 2018",96.28,96.99,97.04,96.17,-0.77%
"Dec 21, 2018",96.96,96.39,97.05,96.25,0.71%
"Dec 24, 2018",96.55,96.94,96.94,96.38,-0.42%
"Dec 25, 2018",96.55,96.56,96.96,96.47,0.00%
"Dec 26, 2018",97.05,96.58,97.12,96.53,0.52%
"Dec 27, 2018",96.48,96.92,96.94,96.41,-0.59%
"Dec 28, 2018",96.4,96.51,96.52,96.19,-0.08%
"Dec 31, 2018",96.17,96.4,96.51,96,-0.24%
"Jan 01, 2019",96.17,96.15,96.32,95.65,0.00%
"Jan 02, 2019",96.82,96.14,96.96,95.82,0.68%
"Jan 03, 2019",96.31,96.72,96.75,96.21,-0.53%
"Jan 04, 2019",96.18,96.28,96.61,96.05,-0.13%
"Jan 07, 2019",95.67,96.16,96.16,95.64,-0.53%
"Jan 08, 2019",95.9,95.69,96.03,95.68,0.24%
"Jan 09, 2019",95.22,95.81,95.92,95.12,-0.71%
"Jan 10, 2019",95.54,95.16,95.62,95.03,0.34%
"Jan 11, 2019",95.67,95.44,95.76,95.19,0.14%
"Jan 14, 2019",95.61,95.65,95.72,95.48,-0.06%
"Jan 15, 2019",96.04,95.57,96.26,95.47,0.45%
"Jan 16, 2019",96.06,95.94,96.18,95.86,0.02%
"Jan 17, 2019",96.06,96.07,96.26,95.98,0.00%
"Jan 18, 2019",96.34,96.07,96.39,96.01,0.29%
"Jan 21, 2019",96.34,96.35,96.43,96.2,0.00%
"Jan 22, 2019",96.3,96.34,96.48,96.22,-0.04%
"Jan 23, 2019",96.12,96.31,96.37,96.05,-0.19%
"Jan 24, 2019",96.6,96.07,96.68,96.04,0.50%
"Jan 25, 2019",95.79,96.49,96.53,95.74,-0.84%
"Jan 28, 2019",95.75,95.79,95.92,95.64,-0.04%
"Jan 29, 2019",95.82,95.74,95.87,95.62,0.07%
"Jan 30, 2019",95.34,95.79,95.98,95.25,-0.50%
"Jan 31, 2019",95.58,95.35,95.62,95.16,0.25%
"Feb 01, 2019",95.58,95.55,95.66,95.4,0.00%
"Feb 04, 2019",95.85,95.6,95.92,95.57,0.28%
"Feb 05, 2019",96.07,95.83,96.12,95.81,0.23%
"Feb 06, 2019",96.39,96.06,96.42,96.04,0.33%
"Feb 07, 2019",96.51,96.39,96.67,96.38,0.12%
"Feb 08, 2019",96.64,96.6,96.69,96.45,0.13%
"Feb 11, 2019",97.06,96.66,97.12,96.62,0.43%
"Feb 12, 2019",96.71,97.06,97.2,96.65,-0.36%
"Feb 13, 2019",97.13,96.73,97.26,96.63,0.43%
"Feb 14, 2019",96.98,97.14,97.28,96.95,-0.15%
