Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2024-03-25,513.2673846033686,514.4029560483432,513.0797700238013,513.23779296875,48512100,25,0,13,3,2024
2024-03-26,514.679364426303,515.0250019230342,511.8849741606643,512.289794921875,65463700,26,1,13,3,2024
2024-03-27,515.1534188944993,516.6345676089135,512.9612874577568,516.5950317382812,82999800,27,2,13,3,2024
2024-03-28,516.6345318569229,518.0169010671898,516.2099431536778,516.4962768554688,96294900,28,3,13,3,2024
2024-04-01,517.2467729199333,517.7898487303629,514.4226702231268,515.5977172851562,62477500,1,0,14,4,2024
2024-04-02,511.7270233656594,512.4577137930522,509.98913247450986,512.3195190429688,74230300,2,1,14,4,2024
2024-04-03,511.21343909304755,514.4028865145611,511.1640795299588,512.8822021484375,59155800,3,2,14,4,2024
2024-04-04,516.9406288664777,517.2862060989289,506.3158466091879,506.6219482421875,96858100,4,3,14,4,2024
2024-04-05,507.9945338114215,513.8993607380618,507.5501771431546,511.91461181640625,74482100,5,4,14,4,2024
2024-04-08,512.6255767206463,513.6426007971904,511.3814021999841,512.200927734375,48401800,8,0,15,4,2024
2024-04-09,513.9585589840982,514.2054170815929,507.8858256784909,512.7933959960938,68124400,9,1,15,4,2024
2024-04-10,507.02681170599385,509.673123526284,505.6543263594028,507.6587829589844,82652800,10,2,15,4,2024
2024-04-11,509.19910942180206,512.9513403159139,505.644377052241,511.4899597167969,70099000,11,3,15,4,2024
2024-04-12,507.9056526918174,509.3374418774512,502.6821263036934,504.4299011230469,92469100,12,4,15,4,2024
2024-04-15,508.6560925817605,508.82393922642535,497.25122948428464,498.1103210449219,92101400,15,0,16,4,2024
2024-04-16,498.59412658447235,500.1345187428283,495.89842524032656,497.20184326171875,73484000,16,1,16,4,2024
2024-04-17,499.6901864139846,499.8580631918657,492.8472866698088,494.2593078613281,75910300,17,2,16,4,2024
2024-04-18,495.6713540683197,497.79432781744384,492.29432181692374,493.24224853515625,74548100,18,3,16,4,2024
2024-04-19,493.1632825831793,494.1704528693444,487.65339244333126,488.93707275390625,102129100,19,4,16,4,2024
2024-04-22,491.5734964560846,496.0663323040314,489.2036645395879,493.43975830078125,67961000,22,0,17,4,2024
2024-04-23,495.47386817795365,499.72969975232706,493.25214509988666,499.29522705078125,64633600,23,1,17,4,2024
2024-04-24,500.1937688055625,500.99358666230006,496.80688280638515,499.0582275390625,55928100,24,2,17,4,2024
2024-04-25,492.9065220761964,497.93254961957143,491.23775882863794,497.162353515625,69122400,25,3,17,4,2024
2024-04-26,499.9864672937559,503.47210291721257,499.344642176449,501.8724670410156,64306100,26,4,17,4,2024
2024-04-29,503.679432560198,504.33114161625775,500.87512791942584,503.6498107910156,46415400,29,0,18,4,2024
2024-04-30,502.16864851695937,503.15608097513086,495.6713562011719,495.6713562011719,77483600,30,1,18,4,2024
2024-05-01,495.0789134040568,501.80332634186607,493.58788068094316,494.0618591308594,80242800,1,2,18,5,2024
2024-05-02,497.8140685300337,499.53222150106063,493.2718731886126,498.6830139160156,62550200,2,3,18,5,2024
2024-05-03,504.73597832437986,506.1084937698732,502.1686479094306,504.8643493652344,72756700,3,4,18,5,2024
2024-05-06,507.29337540466497,510.1174174924548,506.84901878864906,510.07794189453125,47264700,6,0,19,5,2024
2024-05-07,511.0554517555509,512.0527680077416,509.9594163819504,510.6407470703125,52561300,7,1,19,5,2024
2024-05-08,508.7844785754358,511.2332918847477,508.6659914971205,510.6902160644531,42047200,8,2,19,5,2024
2024-05-09,510.87783646053344,513.6722873367964,510.216273554399,513.6327514648438,43643700,9,3,19,5,2024
2024-05-10,515.2521531600112,516.0717390144458,513.0600819270163,514.2943725585938,52233200,10,4,19,5,2024
2024-05-13,515.9926297171974,516.101232807844,513.2080633480845,514.3633422851562,36716400,13,0,20,5,2024
2024-05-14,514.5609091971558,517.246756798696,514.0178334036524,516.723388671875,57535900,14,1,20,5,2024
2024-05-15,519.2215783394845,523.4181658986269,518.579723193792,523.1219482421875,59504900,15,2,20,5,2024
2024-05-16,523.2207624728927,524.8401663132244,521.8975763428413,522.0457153320312,50244800,16,3,20,5,2024
2024-05-17,522.1641713217606,522.8652700844239,520.6929065582314,522.796142578125,59187600,17,4,20,5,2024
2024-05-20,522.9146662253235,524.8796473700406,522.5196690954474,523.3984985351562,37764200,20,0,21,5,2024
2024-05-21,522.6282518632279,524.8400908059087,522.4208693618174,524.6820678710938,33437000,21,1,21,5,2024
2024-05-22,523.9810274842546,524.7018338509016,520.9693104479597,523.1713256835938,48390000,22,2,21,5,2024
2024-05-23,526.2620025028626,526.370605604358,518.1255087640279,519.3499755859375,57211200,23,3,21,5,2024
2024-05-24,521.2162107208669,523.6058407166882,520.2584301434748,522.7862548828125,41258400,24,4,21,5,2024
2024-05-28,523.6057908872817,523.8427650171528,520.4854707957389,523.1515502929688,36269600,28,1,22,5,2024
2024-05-29,519.0735154350635,520.6830352503243,518.7674137672095,519.4882202148438,45190300,29,2,22,5,2024
2024-05-30,517.9281441922149,518.5995910989438,514.7782319239992,516.0421142578125,46468500,30,3,22,5,2024
2024-05-31,517.0097851977956,520.8706195756462,511.84547248017293,520.7422485351562,90785800,31,4,22,5,2024
2024-06-03,522.3715079503993,522.657841650115,516.032148544318,521.1668090820312,46835700,3,0,23,6,2024
2024-06-04,519.8437132727871,522.49990899419,518.3625645865347,521.7494506835938,34632700,4,1,23,6,2024
2024-06-05,524.0995500261425,527.9702684234203,522.0851492209949,527.9505004882812,47610400,5,2,23,6,2024
2024-06-06,528.2565984124882,528.6910711058155,525.985515807043,527.9406127929688,30808500,6,3,23,6,2024
2024-06-07,526.9531296011007,530.1425771236412,525.8472101733005,527.2987670898438,43224500,7,4,23,6,2024
2024-06-10,526.4792263610262,529.253909134287,525.8769070309806,528.9280395507812,35729300,10,0,24,6,2024
2024-06-11,527.3580331066662,530.2610867954452,525.3634003577233,530.2018432617188,36383400,11,1,24,6,2024
2024-06-12,534.823022521598,537.2817195863698,533.5097205376181,534.556396484375,63251300,12,2,24,6,2024
2024-06-13,536.323966242378,536.5016968534992,532.808709085761,535.6327514648438,44760900,13,3,24,6,2024
2024-06-14,534.0825332092376,535.9882708369021,533.0654487335895,535.9586791992188,40089900,14,4,24,6,2024
2024-06-17,535.2673734870664,541.6363245352009,534.8032489186013,540.2242431640625,55839500,17,0,25,6,2024
2024-06-18,540.2834997560115,541.725172794655,539.8589110449524,541.5968017578125,41376400,18,1,25,6,2024
2024-06-20,542.5348869014116,543.206333734204,538.3284150280085,540.1255493164062,70328200,20,3,25,6,2024
2024-06-21,539.2925357741935,540.5308084404068,537.9254779136916,539.4014892578125,64513900,21,4,25,6,2024
2024-06-24,539.2231194967758,541.8185338516724,537.5291409294473,537.6480102539062,45528700,24,0,26,6,2024
2024-06-25,538.886299065316,540.0849686628054,537.3508531925171,539.7184448242188,38273300,25,1,26,6,2024
2024-06-26,538.5890968132603,541.1151605924962,537.935315544085,540.3920288085938,38550600,26,2,26,6,2024
2024-06-27,540.2533395091051,541.8284487491936,539.5004601471773,541.2439575195312,35041500,27,3,26,6,2024
2024-06-28,542.026493914631,545.1172775612355,537.8560310180918,539.1140747070312,76144500,28,4,26,6,2024
2024-07-01,540.5108902585941,540.758544752217,537.4300828689322,540.2236328125,40297800,1,0,27,7,2024
2024-07-02,538.599012790672,543.8591918945312,538.5494939837195,543.8591918945312,40434800,2,1,27,7,2024
2024-07-03,543.5422235199119,546.6527787264998,543.5026205641852,546.2862548828125,32789900,3,2,27,7,2024
2024-07-05,546.593332444134,549.8425281579695,545.9494065364628,549.4364013671875,41488400,5,4,27,7,2024
2024-07-08,550.2288458063081,551.0312439407816,548.9905733480141,550.0703735351562,36110500,8,0,28,7,2024
2024-07-09,551.0412210519627,551.9525727530728,550.3081733491656,550.6053466796875,27289700,9,1,28,7,2024
2024-07-10,551.8435238044868,556.4003419842186,551.5463505253771,556.0536499023438,38701200,10,2,28,7,2024
2024-07-11,556.1725813645302,557.0542459098444,550.6152288053468,551.2590942382812,53054200,11,3,28,7,2024
2024-07-12,552.3983011311424,558.3816118783382,551.9228238555439,554.7361450195312,53084400,12,4,28,7,2024
2024-07-15,556.7570277181121,559.5406617004013,554.3795204861657,556.26171875,40584300,15,0,29,7,2024
2024-07-16,557.5892264545427,559.8577202238697,556.826431140333,559.560546875,36475300,16,1,29,7,2024
2024-07-17,553.5573176550379,555.2512961750687,551.3878618504468,551.7147827148438,57119000,17,2,29,7,2024
2024-07-18,553.2700660994436,554.2705999484662,545.2658557697873,547.4749145507812,56270400,18,3,29,7,2024
2024-07-19,547.2371678865376,548.8816275932654,542.7694711202483,543.83935546875,65509100,19,4,29,7,2024
2024-07-22,547.8117452037362,550.0604673756361,545.8503409432385,549.4462890625,43346700,22,0,30,7,2024
2024-07-23,549.337291558151,551.5166632808257,548.0891636493933,548.58447265625,34439600,23,1,30,7,2024
2024-07-24,543.7105808194543,544.0176699808688,535.2209773062864,536.1521606445312,74515300,24,2,30,7,2024
2024-07-25,536.2710007218393,542.3237223216066,532.4076270111065,533.3585815429688,61158300,25,3,30,7,2024
2024-07-26,537.1923231127183,542.0562305727658,536.4096962476198,539.33203125,53763800,26,4,30,7,2024
2024-07-29,540.8972361512061,541.9175412062577,537.6281485235597,539.6490478515625,39515800,29,0,31,7,2024
2024-07-30,541.1350205544782,542.2049049678778,533.4676465939222,536.9149780273438,46853600,30,1,31,7,2024
2024-07-31,543.8294251634775,548.30703766459,542.4425963050728,545.6422729492188,65663400,31,2,31,7,2024
2024-08-01,547.3857715555625,549.6641807633281,534.3690370943198,537.9154663085938,76428700,1,3,31,8,2024
2024-08-02,530.7236279231074,531.9519846487756,523.6406845786929,527.900390625,82789100,2,4,31,8,2024
2024-08-05,506.83980235904284,518.6677835651788,505.48263031997044,512.5259399414062,146267400,5,0,32,8,2024
2024-08-06,514.348656712232,524.7798934319092,513.0113465770287,517.251220703125,84826300,6,1,32,8,2024
2024-08-07,523.511906231245,526.6026902576085,513.1896827964204,513.7939453125,70698300,7,2,32,8,2024
2024-08-08,518.9946921355962,526.3054584092854,516.9441659152586,525.6715087890625,63276600,8,3,32,8,2024
2024-08-09,524.8393438265869,529.4952607290277,523.6010712707529,527.989501953125,45619600,9,4,32,8,2024
2024-08-12,529.1980289808038,530.7037271279393,525.9686048377366,528.266845703125,42542100,12,0,33,8,2024
2024-08-13,531.4963351382646,537.1923889659508,531.2486806240174,536.95458984375,52333100,13,1,33,8,2024
2024-08-14,537.7569791487715,539.847229165935,535.052611245972,538.6485595703125,42446900,14,2,33,8,2024
2024-08-15,544.344650647757,548.1684220357494,543.730472257459,547.8811645507812,60846800,15,3,33,8,2024
2024-08-16,546.2465963520883,549.8128576628174,546.0881240652358,549.1094970703125,44430700,16,4,33,8,2024
2024-08-19,549.5255203879397,554.3597412109375,548.6636875389138,554.3597412109375,39121800,19,0,34,8,2024
2024-08-20,553.9040421160377,555.5781888434063,552.101110220216,553.458251953125,33732300,20,1,34,8,2024
2024-08-21,554.5182893635274,556.8363017589311,549.5255356579909,555.3602905273438,41514600,21,2,34,8,2024
2024-08-22,557.2820707271261,557.8962490623195,549.7731692085193,551.0015258789062,56121500,22,3,34,8,2024
2024-08-23,554.2805573415312,557.8071552497642,552.0615220777588,556.8561401367188,50639400,23,4,34,8,2024
2024-08-26,557.8962782252163,558.6194100693675,553.8050207531145,555.5286865234375,35788600,26,0,35,8,2024
2024-08-27,554.240856351132,556.7867518721707,553.0818502181188,556.2914428710938,32693900,27,1,35,8,2024
2024-08-28,555.9447439286333,556.3806182627299,549.8325873973797,553.06201171875,41066000,28,2,35,8,2024
2024-08-29,555.0531441896234,558.3915218624276,551.9525051521193,553.1115112304688,38715200,29,3,35,8,2024
2024-08-30,555.5088687841893,558.9066812293946,551.9129206487703,558.3915405273438,62700100,30,4,35,8,2024
2024-09-03,555.2116914777071,555.548528231576,544.3545559151986,546.9004516601562,60600100,3,1,36,9,2024
2024-09-04,545.0380423502995,549.2283371934773,544.304994695349,545.781005859375,47224900,4,2,36,9,2024
2024-09-05,545.7215723262182,548.6042441438841,541.9670913565726,544.4535522460938,44264300,5,3,36,9,2024
2024-09-06,544.7804197789798,546.4248189179493,534.3789316488474,535.290283203125,68493800,6,4,36,9,2024
2024-09-09,539.5400715589968,542.5713599602232,537.588522826048,541.2835083007812,40445800,9,0,37,9,2024
2024-09-10,543.2152768632277,543.9979037862945,538.2820185267881,543.6412353515625,36394600,10,1,37,9,2024
2024-09-11,543.5521385747207,550.1496282139123,534.8941464527446,549.2184448242188,75248600,11,2,37,9,2024
2024-09-12,549.80292700237,554.151754700655,547.5542047078643,553.8446655273438,51892700,12,3,37,9,2024
2024-09-13,554.4588950819387,557.7477545276969,554.2013246942389,556.7373046875,39310500,13,4,37,9,2024
2024-09-16,556.4697321910213,557.8268739812047,554.6470289741064,557.5594482421875,36656100,16,0,38,9,2024
2024-09-17,559.7982156086712,561.2643713841238,555.5286543862046,557.7872924804688,49321000,17,1,38,9,2024
2024-09-18,558.4510079757443,563.354579399442,555.5683360633434,556.1329956054688,59044900,18,2,38,9,2024
2024-09-19,565.6527944370424,567.5052452619498,562.7502909495536,565.623046875,75315500,19,3,38,9,2024
2024-09-20,564.237952213736,565.6985982057745,561.584845604879,564.6453247070312,77503100,20,4,38,9,2024
2024-09-23,565.7284114396389,566.7121216588677,564.4962264504853,566.0562744140625,44116900,23,0,39,9,2024
2024-09-24,566.8611587218248,567.7355813214435,563.999423059069,567.6759643554688,46805700,24,1,39,9,2024
2024-09-25,567.5170087741786,568.2622511765038,565.301113457304,566.4239501953125,38428600,25,2,39,9,2024
2024-09-26,570.7364392510955,571.064362885533,566.2848774298052,568.6696166992188,48336000,26,3,39,9,2024
2024-09-27,569.7527127715928,570.5774039966909,566.8015214416548,567.8448486328125,42100900,27,4,39,9,2024
